Objective Value: 142930.65465323694, Error: 0.3214864657886717
Objective Value: 165046.17990783346, Error: 0.5259588190333995
Objective Value: 132468.37149448466, Error: 0.22475588249229983
Objective Value: 127954.81346630325, Error: 0.1830251154901881
Objective Value: 158742.89589058698, Error: 0.4676808762154511
Objective Value: 140507.1149942993, Error: 0.2990792721299134
Objective Value: 136500.41821371514, Error: 0.2620347656109537
Objective Value: 160431.39620830576, Error: 0.48329215514479384
Objective Value: 150284.37365818262, Error: 0.38947636034155847
Objective Value: 138850.86792135244, Error: 0.2837661953360557
Objective Value: 167043.8502410133, Error: 0.5444285749777024
