Objective Value: 168336.671052986, Error: 0.556381540629869
Objective Value: 144339.3052508981, Error: 0.3345103528222163
Objective Value: 138342.65852870746, Error: 0.2790674703788631
Objective Value: 136563.27568856292, Error: 0.2626159236731379
Objective Value: 142888.72207247396, Error: 0.32109877192350117
Objective Value: 171670.33989217345, Error: 0.5872034679700575
Objective Value: 153520.54843830835, Error: 0.4193968919674586
Objective Value: 155230.16631618902, Error: 0.43520341641647037
Objective Value: 140186.3299043358, Error: 0.2961134062291239
Objective Value: 176758.97424963696, Error: 0.6342511880623615
Objective Value: 149906.31700344518, Error: 0.38598098173471623
