Objective Value: 24629.3814610736, Error: 1.6335951091823782
Objective Value: 25929.792199540097, Error: 1.7726467279234492
Objective Value: 26845.65612137081, Error: 1.8705791404374261
Objective Value: 26241.3902399967, Error: 1.8059655945248825
Objective Value: 28107.717207736678, Error: 2.0055300692618347
Objective Value: 24753.588746225883, Error: 1.6468764698701757
Objective Value: 28377.225012944877, Error: 2.0343482691343966
Objective Value: 27286.94939372974, Error: 1.917766188379998
Objective Value: 27375.092797240675, Error: 1.927191274298618
Objective Value: 24790.576389389877, Error: 1.650831521534418
Objective Value: 26092.299822025056, Error: 1.7900235053491291
