Objective Value: 7214.146818958437, Error: 0.08385619275216896
Objective Value: 7285.546346587353, Error: 0.0945832852444941
Objective Value: 6710.337428579511, Error: 0.008163676168796687
Objective Value: 6983.8614796728625, Error: 0.04925803480661997
Objective Value: 7282.78348196488, Error: 0.09416819140097352
Objective Value: 7214.62202641373, Error: 0.08392758810302435
Objective Value: 7336.174638317145, Error: 0.10218969926639797
Objective Value: 7553.0180115804515, Error: 0.13476833106677455
Objective Value: 6842.181066361881, Error: 0.027971915018311415
Objective Value: 6748.99386016303, Error: 0.013971433317762943
Objective Value: 6710.948206230788, Error: 0.008255439638039054
