Objective Value: 13974.105492389297, Error: 1.0994749838325266
Objective Value: 14886.927545960481, Error: 1.2366177202464665
Objective Value: 15780.7363027886, Error: 1.3709038916449219
Objective Value: 15319.496259056601, Error: 1.3016070100746095
Objective Value: 13803.777402624233, Error: 1.0738848261154197
Objective Value: 12707.757243742535, Error: 0.9092183358988184
Objective Value: 10296.645883790065, Error: 0.5469720378290361
Objective Value: 13761.889267407907, Error: 1.0675915365696975
Objective Value: 14812.022828538857, Error: 1.225364006691535
Objective Value: 12062.243855041164, Error: 0.8122361561059441
Objective Value: 12658.91926059964, Error: 0.9018808985275901
