Objective Value: 7303.929741335868, Error: 0.09734521354204749
Objective Value: 6957.16814712188, Error: 0.045247618257493974
Objective Value: 7474.180743534616, Error: 0.12292378959354212
Objective Value: 10282.577931932175, Error: 0.5448584633311562
Objective Value: 10391.860055973846, Error: 0.561277051678763
Objective Value: 7291.946261277335, Error: 0.09554481088902268
Objective Value: 11523.70584499927, Error: 0.731325998347246
Objective Value: 9689.438462169945, Error: 0.4557449612635133
Objective Value: 7744.86718281697, Error: 0.1635918243414919
Objective Value: 11806.602141716885, Error: 0.7738284467723685
Objective Value: 7854.771931032699, Error: 0.18010395598448006
