Objective Value: 128146.72936722697, Error: 0.18479950228115066
Objective Value: 134949.38474642177, Error: 0.24769445673889154
Objective Value: 140380.2131080205, Error: 0.29790598200815943
Objective Value: 133143.82390555437, Error: 0.23100087746331205
Objective Value: 129928.1514786717, Error: 0.20126990337070147
Objective Value: 126849.71945714322, Error: 0.1728078057040396
Objective Value: 121764.12882496008, Error: 0.12578822682310373
Objective Value: 143080.83520055076, Error: 0.3228749822072205
Objective Value: 131003.25070643419, Error: 0.2112098919778677
Objective Value: 114572.14491259259, Error: 0.059293677942589954
Objective Value: 126411.79763409392, Error: 0.16875893484678964
