Objective Value: 168220.81265440752, Error: 0.5553103547037928
Objective Value: 143972.15005352863, Error: 0.33111576524864905
Objective Value: 143286.81121221633, Error: 0.32477936382747924
Objective Value: 156314.4164740019, Error: 0.44522801129819883
Objective Value: 146275.38055517222, Error: 0.3524106228346436
Objective Value: 146243.68066259858, Error: 0.3521175367985889
Objective Value: 160353.40128771905, Error: 0.48257104159357106
Objective Value: 132201.29519504926, Error: 0.22228658914236685
Objective Value: 143679.78978721506, Error: 0.32841270525074256
Objective Value: 181533.93547866665, Error: 0.6783987969440052
Objective Value: 142552.10479856888, Error: 0.31798652722906906
Objective Value: 160276.78028105223, Error: 0.48186263076629987
Objective Value: 152858.62908368238, Error: 0.4132770188674301
Objective Value: 172886.85459527603, Error: 0.598450934229015
Objective Value: 145641.10534259432, Error: 0.34654633773051086
Objective Value: 140300.96769096053, Error: 0.29717330680720544
Objective Value: 169890.40729599405, Error: 0.5707468384137617
Objective Value: 136750.21902159826, Error: 0.2643443358536807
Objective Value: 218072.70279514723, Error: 1.016223363706647
Objective Value: 149204.1931089247, Error: 0.3794893916264453
Objective Value: 152222.06506479907, Error: 0.4073915722667468
Objective Value: 147574.93145546684, Error: 0.3644258125118283
Objective Value: 155174.29764281368, Error: 0.43468687434992626
Objective Value: 163734.13955400194, Error: 0.5138281562699539
Objective Value: 140272.40154988779, Error: 0.29690919433322965
Objective Value: 149690.10718267865, Error: 0.38398198192178784
Objective Value: 178593.8472377096, Error: 0.6512157771217336
Objective Value: 167039.65538566644, Error: 0.5443897908233845
Objective Value: 171299.22823393933, Error: 0.5837723003535473
Objective Value: 152071.13762088082, Error: 0.4059961503053913
Objective Value: 148641.19786485506, Error: 0.3742841359928906
Objective Value: 166285.32374435713, Error: 0.5374155062857194
Objective Value: 159544.70864145836, Error: 0.4750941543603247
Objective Value: 174123.29065227095, Error: 0.6098825863060028
Objective Value: 127438.67360382747, Error: 0.17825306820354728
Objective Value: 139527.96079214566, Error: 0.2900263574195921
Objective Value: 178925.30400594586, Error: 0.6542803095992553
Objective Value: 174939.44896810953, Error: 0.6174284984893493
Objective Value: 177536.33174751987, Error: 0.6414383615558564
Objective Value: 180757.25725161863, Error: 0.6712179037492824
Objective Value: 161794.00991192186, Error: 0.49589040127887524
Objective Value: 125329.03718325844, Error: 0.15874811327081828
Objective Value: 163756.8372327121, Error: 0.5140380110089046
Objective Value: 149680.89229708738, Error: 0.3838967843368317
Objective Value: 167851.74559474472, Error: 0.5518980907251797
Objective Value: 156964.90245724627, Error: 0.4512421754754229
Objective Value: 140683.60480975048, Error: 0.3007110347705737
Objective Value: 169675.8796930531, Error: 0.5687633917940542
Objective Value: 153362.13177900694, Error: 0.41793222735978464
Objective Value: 140934.50473246298, Error: 0.30303076704169774
Objective Value: 124359.07757649115, Error: 0.14978020854936855
Objective Value: 135280.18717480713, Error: 0.2507529394207336
Objective Value: 144438.02284006684, Error: 0.33542306086471624
Objective Value: 144047.365767356, Error: 0.33181118323353587
Objective Value: 147734.89925013273, Error: 0.36590481837047983
Objective Value: 140627.20520736807, Error: 0.30018958392152356
Objective Value: 149737.70875341646, Error: 0.38442208927057814
Objective Value: 138194.82090092235, Error: 0.2777006157686586
Objective Value: 146890.81601053325, Error: 0.3581007221824652
Objective Value: 168247.85145781375, Error: 0.5555603459519204
Objective Value: 139643.02764222908, Error: 0.29109022496721565
Objective Value: 173040.02313155984, Error: 0.599867076540647
Objective Value: 134067.36755563822, Error: 0.23953963660572142
Objective Value: 136788.30941186482, Error: 0.26469650617946555
Objective Value: 135277.96239965677, Error: 0.2507323699336788
Objective Value: 186184.92257695826, Error: 0.7214001846999164
Objective Value: 137093.10605889602, Error: 0.2675145485710484
Objective Value: 143668.06459183307, Error: 0.328304298226066
Objective Value: 148197.5677877098, Error: 0.3701824886297931
Objective Value: 136568.23065310533, Error: 0.26266173552922395
Objective Value: 188845.3641398676, Error: 0.7459976898812637
Objective Value: 162630.59609980212, Error: 0.5036251823685696
Objective Value: 165917.52907999337, Error: 0.5340150064256638
Objective Value: 135135.25213966687, Error: 0.24941292115928285
Objective Value: 154819.72046036503, Error: 0.4314085786699677
Objective Value: 178690.35366528123, Error: 0.6521080415432949
Objective Value: 140347.26320750726, Error: 0.2976013388391836
Objective Value: 170436.7667376641, Error: 0.575798285280597
Objective Value: 138842.8485299843, Error: 0.283692050869408
Objective Value: 154071.61508462986, Error: 0.424491859989736
Objective Value: 128241.79808210509, Error: 0.18567847411778113
Objective Value: 148290.6235259974, Error: 0.3710428491942177
Objective Value: 140802.58770720795, Error: 0.3018111087122472
Objective Value: 172130.8277424131, Error: 0.5914609763626983
Objective Value: 172214.87872120336, Error: 0.5922380820939853
Objective Value: 153599.05560885277, Error: 0.42012274160127927
Objective Value: 124930.15425093718, Error: 0.15506018224037926
Objective Value: 186756.51684565906, Error: 0.7266849438850125
Objective Value: 171597.2831729474, Error: 0.5865280112884496
Objective Value: 133673.62233058887, Error: 0.23589920700624886
Objective Value: 175935.0064429933, Error: 0.6266330720790068
Objective Value: 136140.00975607688, Error: 0.2587025560154668
Objective Value: 132923.29922290717, Error: 0.2289619839579431
Objective Value: 152381.90227713, Error: 0.40886937080714497
Objective Value: 147180.02432235988, Error: 0.3607746403198983
