trial_number,value,params
0,1.2219493658356593,"{'POP_SIZE': 198, 'T_SIZE': 9}"
1,1.3754198069690455,"{'POP_SIZE': 249, 'T_SIZE': 10}"
2,1.1736509659209762,"{'POP_SIZE': 166, 'T_SIZE': 7}"
3,1.4990175899632736,"{'POP_SIZE': 281, 'T_SIZE': 9}"
4,1.1540368158080936,"{'POP_SIZE': 157, 'T_SIZE': 5}"
5,1.3141211572096374,"{'POP_SIZE': 215, 'T_SIZE': 9}"
6,1.6147881808221478,"{'POP_SIZE': 298, 'T_SIZE': 7}"
7,1.536479514826022,"{'POP_SIZE': 292, 'T_SIZE': 10}"
8,1.337473907562554,"{'POP_SIZE': 227, 'T_SIZE': 8}"
9,1.6508640363006368,"{'POP_SIZE': 295, 'T_SIZE': 6}"
10,1.1116028218325458,"{'POP_SIZE': 187, 'T_SIZE': 9}"
11,1.3594612909520971,"{'POP_SIZE': 221, 'T_SIZE': 5}"
12,1.4332938552682921,"{'POP_SIZE': 212, 'T_SIZE': 5}"
13,1.7629333696210445,"{'POP_SIZE': 285, 'T_SIZE': 5}"
14,1.519246513908005,"{'POP_SIZE': 257, 'T_SIZE': 9}"
15,1.145181471190445,"{'POP_SIZE': 186, 'T_SIZE': 8}"
16,1.5293192626899053,"{'POP_SIZE': 239, 'T_SIZE': 7}"
17,1.5736436943742236,"{'POP_SIZE': 284, 'T_SIZE': 8}"
18,1.3941492360277592,"{'POP_SIZE': 236, 'T_SIZE': 10}"
19,1.6015064932216336,"{'POP_SIZE': 299, 'T_SIZE': 7}"
20,1.293815885538844,"{'POP_SIZE': 187, 'T_SIZE': 6}"
21,1.5382343636587836,"{'POP_SIZE': 276, 'T_SIZE': 6}"
22,1.7147146479817619,"{'POP_SIZE': 292, 'T_SIZE': 6}"
23,1.577760121210207,"{'POP_SIZE': 294, 'T_SIZE': 8}"
24,1.42259804741574,"{'POP_SIZE': 220, 'T_SIZE': 6}"
25,1.6376918631726176,"{'POP_SIZE': 298, 'T_SIZE': 10}"
26,1.1880990989815385,"{'POP_SIZE': 178, 'T_SIZE': 7}"
27,1.2151820412766665,"{'POP_SIZE': 185, 'T_SIZE': 7}"
28,1.2087623263339524,"{'POP_SIZE': 184, 'T_SIZE': 7}"
29,1.243497995394664,"{'POP_SIZE': 184, 'T_SIZE': 7}"
30,1.19175401875007,"{'POP_SIZE': 183, 'T_SIZE': 8}"
