trial_number,value,params
0,0.5350845536296113,"{'POP_SIZE': 105, 'T_SIZE': 5, 'C_RATE': 84, 'M_RATE': 2}"
1,0.5706820031390114,"{'POP_SIZE': 97, 'T_SIZE': 2, 'C_RATE': 72, 'M_RATE': 2}"
2,0.5601875217762536,"{'POP_SIZE': 106, 'T_SIZE': 4, 'C_RATE': 86, 'M_RATE': 1}"
3,0.5236740921297239,"{'POP_SIZE': 79, 'T_SIZE': 4, 'C_RATE': 72, 'M_RATE': 4}"
4,0.606913122950817,"{'POP_SIZE': 31, 'T_SIZE': 4, 'C_RATE': 87, 'M_RATE': 3}"
5,0.51048518116609,"{'POP_SIZE': 149, 'T_SIZE': 5, 'C_RATE': 73, 'M_RATE': 3}"
6,0.518328516511827,"{'POP_SIZE': 66, 'T_SIZE': 2, 'C_RATE': 74, 'M_RATE': 1}"
7,0.5151267322253619,"{'POP_SIZE': 84, 'T_SIZE': 3, 'C_RATE': 93, 'M_RATE': 1}"
8,0.5693132987138138,"{'POP_SIZE': 144, 'T_SIZE': 5, 'C_RATE': 91, 'M_RATE': 1}"
9,0.6179389526539029,"{'POP_SIZE': 20, 'T_SIZE': 3, 'C_RATE': 94, 'M_RATE': 3}"
10,0.47253814091515267,"{'POP_SIZE': 135, 'T_SIZE': 5, 'C_RATE': 83, 'M_RATE': 1}"
