trial_number,value,params
0,0.6079932074047185,"{'POP_SIZE': 130, 'T_SIZE': 2, 'C_RATE': 77, 'M_RATE': 2}"
1,0.6038689235794287,"{'POP_SIZE': 42, 'T_SIZE': 3, 'C_RATE': 93, 'M_RATE': 5}"
2,0.5086924073451694,"{'POP_SIZE': 117, 'T_SIZE': 3, 'C_RATE': 87, 'M_RATE': 1}"
3,0.7370416250704215,"{'POP_SIZE': 30, 'T_SIZE': 4, 'C_RATE': 86, 'M_RATE': 1}"
4,0.576459190599836,"{'POP_SIZE': 73, 'T_SIZE': 4, 'C_RATE': 91, 'M_RATE': 2}"
5,0.6593011342391536,"{'POP_SIZE': 140, 'T_SIZE': 2, 'C_RATE': 74, 'M_RATE': 2}"
6,0.5262037039171078,"{'POP_SIZE': 96, 'T_SIZE': 3, 'C_RATE': 81, 'M_RATE': 4}"
7,0.5077135987191822,"{'POP_SIZE': 26, 'T_SIZE': 3, 'C_RATE': 80, 'M_RATE': 3}"
8,0.5606024353988267,"{'POP_SIZE': 95, 'T_SIZE': 4, 'C_RATE': 93, 'M_RATE': 1}"
9,0.5707332373692633,"{'POP_SIZE': 78, 'T_SIZE': 4, 'C_RATE': 95, 'M_RATE': 5}"
10,0.6509232086592678,"{'POP_SIZE': 40, 'T_SIZE': 3, 'C_RATE': 87, 'M_RATE': 3}"
