trial_number,value,params
0,1.4026405994600528,"{'POP_SIZE': 83, 'T_SIZE': 2, 'C_RATE': 89, 'M_RATE': 4}"
1,2.093106828088251,"{'POP_SIZE': 136, 'T_SIZE': 3, 'C_RATE': 89, 'M_RATE': 1}"
2,1.4049352256210348,"{'POP_SIZE': 126, 'T_SIZE': 4, 'C_RATE': 71, 'M_RATE': 5}"
3,1.5690161190997105,"{'POP_SIZE': 102, 'T_SIZE': 3, 'C_RATE': 90, 'M_RATE': 4}"
4,1.4670462190083409,"{'POP_SIZE': 42, 'T_SIZE': 4, 'C_RATE': 86, 'M_RATE': 4}"
5,1.913422212673825,"{'POP_SIZE': 143, 'T_SIZE': 5, 'C_RATE': 94, 'M_RATE': 2}"
6,1.5160115636980198,"{'POP_SIZE': 101, 'T_SIZE': 4, 'C_RATE': 72, 'M_RATE': 4}"
7,1.8292427531747983,"{'POP_SIZE': 76, 'T_SIZE': 5, 'C_RATE': 81, 'M_RATE': 2}"
8,1.5571858501792324,"{'POP_SIZE': 86, 'T_SIZE': 4, 'C_RATE': 78, 'M_RATE': 3}"
9,1.5477587590176876,"{'POP_SIZE': 128, 'T_SIZE': 2, 'C_RATE': 83, 'M_RATE': 4}"
10,1.7899501030064127,"{'POP_SIZE': 84, 'T_SIZE': 5, 'C_RATE': 73, 'M_RATE': 2}"
