trial_number,value,params
0,1.8257859147223774,"{'POP_SIZE': 133, 'C_RATE': 93, 'M_RATE': 5}"
1,1.7196091812394374,"{'POP_SIZE': 93, 'C_RATE': 84, 'M_RATE': 5}"
2,1.691548259641932,"{'POP_SIZE': 76, 'C_RATE': 73, 'M_RATE': 2}"
3,1.6974147713080585,"{'POP_SIZE': 70, 'C_RATE': 79, 'M_RATE': 2}"
4,1.7218690956061071,"{'POP_SIZE': 116, 'C_RATE': 84, 'M_RATE': 1}"
5,1.759443872794147,"{'POP_SIZE': 101, 'C_RATE': 94, 'M_RATE': 2}"
6,1.7512165106095308,"{'POP_SIZE': 98, 'C_RATE': 76, 'M_RATE': 2}"
7,1.757908951444716,"{'POP_SIZE': 122, 'C_RATE': 77, 'M_RATE': 3}"
8,1.6346031725319732,"{'POP_SIZE': 61, 'C_RATE': 78, 'M_RATE': 1}"
9,1.8204660255838376,"{'POP_SIZE': 97, 'C_RATE': 76, 'M_RATE': 4}"
10,1.226965405643387,"{'POP_SIZE': 35, 'C_RATE': 74, 'M_RATE': 5}"
