trial_number,value,params
0,2.981586400297904,"{'POP_SIZE': 11, 'C_RATE': 93, 'M_RATE': 1}"
1,2.8131703892838407,"{'POP_SIZE': 10, 'C_RATE': 70, 'M_RATE': 2}"
2,2.902670807513127,"{'POP_SIZE': 5, 'C_RATE': 76, 'M_RATE': 3}"
3,2.5258451146675265,"{'POP_SIZE': 10, 'C_RATE': 92, 'M_RATE': 3}"
4,3.1282878864097707,"{'POP_SIZE': 5, 'C_RATE': 89, 'M_RATE': 2}"
5,2.666419138501359,"{'POP_SIZE': 9, 'C_RATE': 87, 'M_RATE': 4}"
6,2.59094155046949,"{'POP_SIZE': 9, 'C_RATE': 89, 'M_RATE': 3}"
7,2.3908991534606603,"{'POP_SIZE': 10, 'C_RATE': 81, 'M_RATE': 3}"
8,2.988703950911336,"{'POP_SIZE': 10, 'C_RATE': 89, 'M_RATE': 1}"
9,2.5299115176621294,"{'POP_SIZE': 10, 'C_RATE': 77, 'M_RATE': 5}"
10,2.525487633966077,"{'POP_SIZE': 12, 'C_RATE': 75, 'M_RATE': 3}"
