trial_number,value,params
0,1.8272445795291543,"{'POP_SIZE': 46, 'C_RATE': 93, 'M_RATE': 4}"
1,1.96583730533775,"{'POP_SIZE': 82, 'C_RATE': 85, 'M_RATE': 5}"
2,2.1276606624612975,"{'POP_SIZE': 78, 'C_RATE': 72, 'M_RATE': 3}"
3,2.236985323018879,"{'POP_SIZE': 22, 'C_RATE': 78, 'M_RATE': 1}"
4,2.271668665841279,"{'POP_SIZE': 83, 'C_RATE': 94, 'M_RATE': 2}"
5,2.003711204703228,"{'POP_SIZE': 84, 'C_RATE': 84, 'M_RATE': 3}"
6,1.9793020885282533,"{'POP_SIZE': 71, 'C_RATE': 93, 'M_RATE': 4}"
7,2.236563444604385,"{'POP_SIZE': 96, 'C_RATE': 81, 'M_RATE': 1}"
8,2.088438608488389,"{'POP_SIZE': 142, 'C_RATE': 70, 'M_RATE': 5}"
9,1.7257012181536664,"{'POP_SIZE': 36, 'C_RATE': 92, 'M_RATE': 4}"
10,1.8341963240557548,"{'POP_SIZE': 42, 'C_RATE': 80, 'M_RATE': 3}"
