trial_number,value,params
0,4.13284224530568,"{'TabuSize': 254, 'ErrorTolerance': 0.00018676913483862961}"
1,3.9455861487023007,"{'TabuSize': 242, 'ErrorTolerance': 0.0012011558903556887}"
2,3.9026450321416655,"{'TabuSize': 416, 'ErrorTolerance': 4.441666339166365e-05}"
3,4.166537652198868,"{'TabuSize': 554, 'ErrorTolerance': 0.0003036882079655011}"
4,4.1522332290424995,"{'TabuSize': 400, 'ErrorTolerance': 0.00024752141110594015}"
5,4.121699811559666,"{'TabuSize': 340, 'ErrorTolerance': 0.00292281897207568}"
6,4.051954541202917,"{'TabuSize': 731, 'ErrorTolerance': 9.234082275470359e-05}"
7,4.049082068493106,"{'TabuSize': 106, 'ErrorTolerance': 0.03222229356192599}"
8,4.1013461530959106,"{'TabuSize': 713, 'ErrorTolerance': 0.045272073738627856}"
9,4.08994706653906,"{'TabuSize': 563, 'ErrorTolerance': 5.910616231347335e-05}"
10,3.890756643373817,"{'TabuSize': 657, 'ErrorTolerance': 0.0011540483856268204}"
11,4.014216833384647,"{'TabuSize': 15, 'ErrorTolerance': 9.15474727806967e-05}"
12,4.052419419386913,"{'TabuSize': 317, 'ErrorTolerance': 3.3662628643853855e-05}"
13,4.0376855963170515,"{'TabuSize': 631, 'ErrorTolerance': 0.004144864718503672}"
14,3.976036390707877,"{'TabuSize': 273, 'ErrorTolerance': 0.0002233483151836191}"
15,3.895207044419654,"{'TabuSize': 515, 'ErrorTolerance': 0.0001775192892960728}"
16,3.982354736746685,"{'TabuSize': 259, 'ErrorTolerance': 4.4398902580359055e-05}"
17,4.077672283633769,"{'TabuSize': 652, 'ErrorTolerance': 0.0003515499590601602}"
18,3.974525459028898,"{'TabuSize': 597, 'ErrorTolerance': 0.0013729454088518037}"
19,4.172167717523332,"{'TabuSize': 523, 'ErrorTolerance': 0.017752776382967524}"
20,3.9963207294942635,"{'TabuSize': 359, 'ErrorTolerance': 0.002800065888976291}"
21,4.109645492650637,"{'TabuSize': 515, 'ErrorTolerance': 0.0007170862964743875}"
22,4.20563831293803,"{'TabuSize': 67, 'ErrorTolerance': 0.00017125691836532075}"
23,4.1325175788580495,"{'TabuSize': 94, 'ErrorTolerance': 0.0001737391133493269}"
24,3.9315275676743395,"{'TabuSize': 294, 'ErrorTolerance': 0.0013066623335261833}"
25,3.940888776600949,"{'TabuSize': 739, 'ErrorTolerance': 0.007596806804772086}"
26,4.07804576216876,"{'TabuSize': 724, 'ErrorTolerance': 0.0017257312345257392}"
27,3.968511653849774,"{'TabuSize': 571, 'ErrorTolerance': 0.002487877349849819}"
28,3.939584257486699,"{'TabuSize': 565, 'ErrorTolerance': 0.0023984520774522557}"
29,4.078009638652944,"{'TabuSize': 478, 'ErrorTolerance': 0.0011862899599020277}"
30,4.03872433532748,"{'TabuSize': 495, 'ErrorTolerance': 0.001081304091739038}"
