trial_number,value,params
0,3.225057981278693,"{'TabuSize': 656, 'ErrorTolerance': 2.6266851568024404e-05}"
1,3.198070877917592,"{'TabuSize': 507, 'ErrorTolerance': 1.644789196295047e-05}"
2,3.2732562492072743,"{'TabuSize': 502, 'ErrorTolerance': 3.389325115490478e-05}"
3,3.1195013085877203,"{'TabuSize': 298, 'ErrorTolerance': 0.0004859743669626766}"
4,3.394911381843768,"{'TabuSize': 59, 'ErrorTolerance': 0.0016445518502119123}"
5,3.2773895032153697,"{'TabuSize': 460, 'ErrorTolerance': 0.00015880360406221678}"
6,3.1603067557540734,"{'TabuSize': 187, 'ErrorTolerance': 0.009430067582894771}"
7,3.3994147840986333,"{'TabuSize': 271, 'ErrorTolerance': 0.00018013870192761688}"
8,3.2842564880246274,"{'TabuSize': 502, 'ErrorTolerance': 0.010548998513674253}"
9,3.0710332751058957,"{'TabuSize': 184, 'ErrorTolerance': 0.022021686813130735}"
10,3.259102205627776,"{'TabuSize': 380, 'ErrorTolerance': 0.042659479194277775}"
